Initializing...
Please connect ESCs
Controller is initialized.
Starting...
time: 33335, yaw: 0.03, pitch: -0.27, roll: 0.09, wx: 0.13, wy: -0.58, wz: 0.02
time: 33445, yaw: 0.03, pitch: -0.32, roll: 0.10, wx: -0.10, wy: -0.52, wz: -0.03
time: 33555, yaw: 0.02, pitch: -0.37, roll: 0.08, wx: -0.23, wy: -0.44, wz: -0.08
time: 33666, yaw: 0.01, pitch: -0.40, roll: 0.07, wx: 0.04, wy: -0.27, wz: 0.03
time: 33775, yaw: 0.01, pitch: -0.42, roll: 0.08, wx: 0.07, wy: -0.13, wz: 0.07
time: 33886, yaw: 0.02, pitch: -0.44, roll: 0.08, wx: 0.03, wy: -0.20, wz: -0.00
time: 33996, yaw: 0.01, pitch: -0.46, roll: 0.08, wx: -0.01, wy: -0.13, wz: -0.02
time: 34106, yaw: 0.01, pitch: -0.46, roll: 0.08, wx: -0.07, wy: 0.03, wz: 0.02
time: 34216, yaw: 0.02, pitch: -0.46, roll: 0.07, wx: 0.03, wy: 0.10, wz: -0.03
time: 34326, yaw: 0.02, pitch: -0.44, roll: 0.07, wx: 0.02, wy: 0.26, wz: -0.00
time: 34437, yaw: 0.02, pitch: -0.40, roll: 0.08, wx: 0.15, wy: 0.62, wz: -0.05
time: 34547, yaw: 0.02, pitch: -0.32, roll: 0.09, wx: 0.07, wy: 0.93, wz: -0.10
time: 34657, yaw: 0.03, pitch: -0.22, roll: 0.09, wx: 0.13, wy: 1.05, wz: 0.10
time: 34767, yaw: 0.05, pitch: -0.11, roll: 0.11, wx: 0.23, wy: 1.00, wz: -0.02
time: 34877, yaw: 0.04, pitch: -0.02, roll: 0.13, wx: 0.09, wy: 0.85, wz: -0.18
time: 34988, yaw: 0.04, pitch: 0.06, roll: 0.13, wx: 0.01, wy: 0.87, wz: -0.16
time: 35098, yaw: 0.04, pitch: 0.15, roll: 0.12, wx: -0.18, wy: 0.76, wz: 0.02
time: 35208, yaw: 0.05, pitch: 0.22, roll: 0.12, wx: 0.11, wy: 0.69, wz: -0.11
time: 35318, yaw: 0.04, pitch: 0.28, roll: 0.14, wx: 0.26, wy: 0.54, wz: -0.16
time: 35428, yaw: 0.03, pitch: 0.34, roll: 0.16, wx: 0.19, wy: 0.47, wz: -0.18
time: 35538, yaw: 0.03, pitch: 0.38, roll: 0.17, wx: -0.07, wy: 0.44, wz: -0.07
time: 35649, yaw: 0.03, pitch: 0.42, roll: 0.15, wx: -0.13, wy: 0.37, wz: 0.03
time: 35759, yaw: 0.03, pitch: 0.45, roll: 0.15, wx: -0.01, wy: 0.28, wz: -0.08
time: 35869, yaw: 0.03, pitch: 0.48, roll: 0.15, wx: -0.02, wy: 0.30, wz: -0.01
time: 35979, yaw: 0.04, pitch: 0.50, roll: 0.14, wx: -0.08, wy: 0.12, wz: -0.01
time: 36089, yaw: 0.03, pitch: 0.50, roll: 0.13, wx: -0.11, wy: -0.05, wz: -0.13
time: 36199, yaw: 0.03, pitch: 0.49, roll: 0.12, wx: -0.06, wy: -0.31, wz: 0.07
time: 36310, yaw: 0.03, pitch: 0.43, roll: 0.12, wx: -0.07, wy: -0.70, wz: 0.11
time: 36420, yaw: 0.04, pitch: 0.35, roll: 0.11, wx: -0.08, wy: -0.86, wz: 0.20
time: 36530, yaw: 0.04, pitch: 0.27, roll: 0.11, wx: -0.08, wy: -0.64, wz: -0.07
time: 36640, yaw: 0.03, pitch: 0.21, roll: 0.09, wx: -0.13, wy: -0.65, wz: 0.07
time: 36750, yaw: 0.03, pitch: 0.14, roll: 0.07, wx: -0.26, wy: -0.59, wz: 0.12
time: 36860, yaw: 0.04, pitch: 0.09, roll: 0.05, wx: -0.19, wy: -0.46, wz: 0.05
time: 36970, yaw: 0.04, pitch: 0.05, roll: 0.03, wx: -0.08, wy: -0.28, wz: -0.03
time: 37081, yaw: 0.04, pitch: 0.04, roll: 0.03, wx: 0.05, wy: -0.06, wz: -0.03
time: 37191, yaw: 0.04, pitch: 0.04, roll: 0.04, wx: 0.05, wy: 0.01, wz: 0.09
time: 37301, yaw: 0.05, pitch: 0.04, roll: 0.04, wx: 0.01, wy: 0.07, wz: 0.11
time: 37411, yaw: 0.06, pitch: 0.04, roll: 0.04, wx: -0.03, wy: 0.00, wz: 0.03
time: 37521, yaw: 0.06, pitch: 0.04, roll: 0.04, wx: 0.02, wy: -0.02, wz: -0.01
time: 37632, yaw: 0.05, pitch: 0.04, roll: 0.05, wx: 0.14, wy: 0.03, wz: -0.03
time: 37741, yaw: 0.05, pitch: 0.04, roll: 0.05, wx: 0.01, wy: -0.08, wz: -0.14
time: 37852, yaw: 0.03, pitch: 0.04, roll: 0.05, wx: -0.21, wy: -0.07, wz: -0.25
time: 37962, yaw: -0.00, pitch: 0.03, roll: 0.01, wx: -0.42, wy: -0.09, wz: -0.26
time: 38072, yaw: -0.03, pitch: 0.03, roll: -0.02, wx: -0.13, wy: 0.02, wz: -0.29
time: 38182, yaw: -0.05, pitch: 0.03, roll: -0.02, wx: 0.10, wy: 0.07, wz: -0.09
time: 38292, yaw: -0.05, pitch: 0.04, roll: -0.01, wx: 0.09, wy: 0.04, wz: 0.06
time: 38403, yaw: -0.04, pitch: 0.03, roll: 0.00, wx: 0.05, wy: -0.07, wz: 0.15
time: 38513, yaw: -0.02, pitch: 0.03, roll: 0.01, wx: 0.04, wy: -0.02, wz: 0.22
time: 38623, yaw: 0.00, pitch: 0.03, roll: 0.01, wx: 0.03, wy: 0.04, wz: 0.24
time: 38733, yaw: 0.03, pitch: 0.03, roll: 0.01, wx: 0.01, wy: -0.02, wz: 0.22
time: 38843, yaw: 0.05, pitch: 0.03, roll: 0.01, wx: -0.02, wy: -0.06, wz: 0.17
time: 38953, yaw: 0.06, pitch: 0.02, roll: 0.01, wx: 0.01, wy: 0.03, wz: 0.14
time: 39063, yaw: 0.08, pitch: 0.03, roll: 0.01, wx: 0.07, wy: 0.03, wz: 0.13
time: 39174, yaw: 0.09, pitch: 0.03, roll: 0.02, wx: 0.10, wy: -0.05, wz: 0.13
time: 39284, yaw: 0.10, pitch: 0.02, roll: 0.03, wx: 0.06, wy: -0.01, wz: 0.14
time: 39394, yaw: 0.12, pitch: 0.02, roll: 0.03, wx: -0.02, wy: 0.02, wz: 0.13
time: 39504, yaw: 0.13, pitch: 0.02, roll: 0.02, wx: -0.06, wy: -0.01, wz: 0.07
time: 39614, yaw: 0.13, pitch: 0.02, roll: 0.02, wx: -0.03, wy: -0.00, wz: 0.00
time: 39725, yaw: 0.13, pitch: 0.02, roll: 0.02, wx: 0.02, wy: 0.01, wz: -0.07
time: 39835, yaw: 0.12, pitch: 0.03, roll: 0.02, wx: 0.04, wy: 0.00, wz: -0.13
time: 39945, yaw: 0.10, pitch: 0.02, roll: 0.02, wx: -0.02, wy: -0.02, wz: -0.18
time: 40055, yaw: 0.08, pitch: 0.02, roll: 0.01, wx: -0.07, wy: 0.00, wz: -0.22
time: 40165, yaw: 0.06, pitch: 0.03, roll: 0.00, wx: -0.07, wy: 0.02, wz: -0.27
time: 40275, yaw: 0.03, pitch: 0.03, roll: -0.00, wx: -0.04, wy: -0.02, wz: -0.29
time: 40385, yaw: -0.00, pitch: 0.02, roll: -0.00, wx: -0.01, wy: -0.01, wz: -0.29
time: 40496, yaw: -0.03, pitch: 0.02, roll: -0.00, wx: -0.00, wy: -0.01, wz: -0.25
time: 40606, yaw: -0.05, pitch: 0.02, roll: -0.01, wx: -0.00, wy: -0.02, wz: -0.19
time: 40716, yaw: -0.07, pitch: 0.02, roll: -0.00, wx: 0.02, wy: -0.01, wz: -0.11
time: 40826, yaw: -0.07, pitch: 0.02, roll: -0.00, wx: 0.01, wy: 0.01, wz: -0.02
time: 40937, yaw: -0.07, pitch: 0.02, roll: -0.00, wx: -0.00, wy: 0.01, wz: 0.07
time: 41047, yaw: -0.06, pitch: 0.02, roll: -0.00, wx: 0.00, wy: -0.00, wz: 0.15
time: 41157, yaw: -0.04, pitch: 0.02, roll: 0.00, wx: 0.04, wy: -0.01, wz: 0.20
time: 41267, yaw: -0.02, pitch: 0.02, roll: 0.01, wx: 0.07, wy: 0.00, wz: 0.23
time: 41377, yaw: 0.01, pitch: 0.02, roll: 0.01, wx: 0.07, wy: -0.01, wz: 0.25
time: 41487, yaw: 0.03, pitch: 0.02, roll: 0.02, wx: 0.03, wy: 0.01, wz: 0.25
time: 41597, yaw: 0.06, pitch: 0.02, roll: 0.02, wx: -0.00, wy: 0.02, wz: 0.23
time: 41708, yaw: 0.08, pitch: 0.02, roll: 0.02, wx: -0.01, wy: 0.01, wz: 0.18
